# file...... /gldportal/www/html/Scenario_0/simulation6_run146/Voltage_646.csv
# date...... Mon Aug 12 18:26:06 2013
# user...... (null)
# host...... (null)
# target.... node 64
# trigger... (none)
# interval.. 600
# limit..... 144
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+0,+0,-1221.87,-2064.51,-1198.42,+2098.33
2000-01-01 00:10:00 PST,+0,+0,-1218.82,-2056.11,-1176.96,+2097.84
2000-01-01 00:20:00 PST,+0,+0,-1218.67,-2075.25,-1182.94,+2090.79
2000-01-01 00:30:00 PST,+0,+0,-1228.71,-2057.36,-1179.85,+2093.95
2000-01-01 00:40:00 PST,+0,+0,-1233.44,-2051.93,-1180.52,+2094.68
2000-01-01 00:50:00 PST,+0,+0,-1250.05,-2039.51,-1180.66,+2095.15
2000-01-01 01:00:00 PST,+0,+0,-1235.39,-2056.83,-1176.7,+2096.36
2000-01-01 01:10:00 PST,+0,+0,-1237.53,-2061.12,-1180.13,+2092.4
2000-01-01 01:20:00 PST,+0,+0,-1241.21,-2047.08,-1179.1,+2099.81
2000-01-01 01:30:00 PST,+0,+0,-1246.02,-2043.21,-1173.92,+2096.42
2000-01-01 01:40:00 PST,+0,+0,-1248.03,-2051.25,-1175.04,+2091.45
2000-01-01 01:50:00 PST,+0,+0,-1249.24,-2049.43,-1179.22,+2090.63
2000-01-01 02:00:00 PST,+0,+0,-1242.98,-2052.51,-1161.08,+2091.44
2000-01-01 02:10:00 PST,+0,+0,-1252.25,-2038.3,-1166.62,+2096.7
2000-01-01 02:20:00 PST,+0,+0,-1255.73,-2032.77,-1168.55,+2101.43
2000-01-01 02:30:00 PST,+0,+0,-1250.75,-2060.29,-1169.36,+2090.27
2000-01-01 02:40:00 PST,+0,+0,-1259.71,-2044.92,-1174.65,+2095.54
2000-01-01 02:50:00 PST,+0,+0,-1271.88,-2027.78,-1185.56,+2098.52
2000-01-01 03:00:00 PST,+0,+0,-1260.54,-2026.29,-1160,+2098.6
2000-01-01 03:10:00 PST,+0,+0,-1259.13,-2041.08,-1147.85,+2090.37
2000-01-01 03:20:00 PST,+0,+0,-1263.36,-2030.94,-1165.77,+2096.34
2000-01-01 03:30:00 PST,+0,+0,-1259.83,-2027.83,-1151.89,+2097.99
2000-01-01 03:40:00 PST,+0,+0,-1257.56,-2044.23,-1168.21,+2094.43
2000-01-01 03:50:00 PST,+0,+0,-1262.39,-2032.04,-1159.98,+2096.19
2000-01-01 04:00:00 PST,+0,+0,-1270.43,-2041.77,-1173.33,+2092.98
2000-01-01 04:10:00 PST,+0,+0,-1265.09,-2034.46,-1162.17,+2098.38
2000-01-01 04:20:00 PST,+0,+0,-1257.78,-2039.56,-1147.6,+2096.55
2000-01-01 04:30:00 PST,+0,+0,-1266.22,-2026.13,-1163.02,+2098.58
2000-01-01 04:40:00 PST,+0,+0,-1261.91,-2028.31,-1152.9,+2097.59
2000-01-01 04:50:00 PST,+0,+0,-1269.92,-2021.44,-1158.44,+2095.81
2000-01-01 05:00:00 PST,+0,+0,-1267.6,-2022.21,-1141.67,+2093.14
2000-01-01 05:10:00 PST,+0,+0,-1287.47,-2005.83,-1158.99,+2094.39
2000-01-01 05:20:00 PST,+0,+0,-1283.81,-2018.82,-1157.43,+2091.81
2000-01-01 05:30:00 PST,+0,+0,-1290.77,-2003.5,-1146.59,+2095.11
2000-01-01 05:40:00 PST,+0,+0,-1295.12,-1982.57,-1141.02,+2103.4
2000-01-01 05:50:00 PST,+0,+0,-1301.17,-2003.8,-1144.11,+2092.81
2000-01-01 06:00:00 PST,+0,+0,-1295.75,-1993.08,-1144.51,+2098.41
2000-01-01 06:10:00 PST,+0,+0,-1306.93,-1998.28,-1154.06,+2093.43
2000-01-01 06:20:00 PST,+0,+0,-1302.84,-1986.6,-1149.26,+2098.78
2000-01-01 06:30:00 PST,+0,+0,-1295.95,-1999.63,-1141.28,+2090.42
2000-01-01 06:40:00 PST,+0,+0,-1300.27,-1992.36,-1149.91,+2092.65
2000-01-01 06:50:00 PST,+0,+0,-1293.52,-1992.78,-1148.55,+2090.58
2000-01-01 07:00:00 PST,+0,+0,-1286,-2003.93,-1151.82,+2090.14
2000-01-01 07:10:00 PST,+0,+0,-1283.17,-2013.47,-1157.35,+2086.37
2000-01-01 07:20:00 PST,+0,+0,-1270.98,-2011.83,-1141.24,+2086.73
2000-01-01 07:30:00 PST,+0,+0,-1267.22,-2014.84,-1161.39,+2089.43
2000-01-01 07:40:00 PST,+0,+0,-1274.76,-2022.97,-1176.84,+2084.69
2000-01-01 07:50:00 PST,+0,+0,-1260.02,-2019.61,-1159.91,+2089.9
2000-01-01 08:00:00 PST,+0,+0,-1255.59,-2042.61,-1158.26,+2085.34
2000-01-01 08:10:00 PST,+0,+0,-1254.52,-2034.52,-1160.75,+2091.13
2000-01-01 08:20:00 PST,+0,+0,-1262,-2019.41,-1166.31,+2101.89
2000-01-01 08:30:00 PST,+0,+0,-1258.36,-2042.88,-1173.12,+2094.86
2000-01-01 08:40:00 PST,+0,+0,-1254.76,-2041.46,-1161.71,+2095.54
2000-01-01 08:50:00 PST,+0,+0,-1251.63,-2042.63,-1168.42,+2095.33
2000-01-01 09:00:00 PST,+0,+0,-1257.44,-2033.55,-1182.64,+2097.92
2000-01-01 09:10:00 PST,+0,+0,-1247.52,-2052.44,-1175.59,+2092.63
2000-01-01 09:20:00 PST,+0,+0,-1244.16,-2040.56,-1156.2,+2100.35
2000-01-01 09:30:00 PST,+0,+0,-1246.93,-2046.97,-1168.52,+2095.86
2000-01-01 09:40:00 PST,+0,+0,-1241.1,-2060.51,-1169.13,+2090.86
2000-01-01 09:50:00 PST,+0,+0,-1241.86,-2048.9,-1176.56,+2097.17
2000-01-01 10:00:00 PST,+0,+0,-1239.92,-2053.73,-1182.92,+2098.95
2000-01-01 10:10:00 PST,+0,+0,-1236.89,-2069.96,-1180.41,+2090.06
2000-01-01 10:20:00 PST,+0,+0,-1234.8,-2065.73,-1174.78,+2089.66
2000-01-01 10:30:00 PST,+0,+0,-1234.07,-2055.91,-1181.64,+2096.05
2000-01-01 10:40:00 PST,+0,+0,-1233.37,-2059.13,-1181.44,+2093.94
2000-01-01 10:50:00 PST,+0,+0,-1226.24,-2071.81,-1176.45,+2089.43
2000-01-01 11:00:00 PST,+0,+0,-1226.85,-2061.14,-1174.32,+2092.69
2000-01-01 11:10:00 PST,+0,+0,-1227.71,-2059.38,-1182.76,+2094.81
2000-01-01 11:20:00 PST,+0,+0,-1227.63,-2061.09,-1181.93,+2089.29
2000-01-01 11:30:00 PST,+0,+0,-1223.21,-2063.74,-1181.56,+2089.45
2000-01-01 11:40:00 PST,+0,+0,-1220.46,-2067.38,-1178.35,+2088.43
2000-01-01 11:50:00 PST,+0,+0,-1224.85,-2068.67,-1188.49,+2086.33
2000-01-01 12:00:00 PST,+0,+0,-1229.74,-2058.28,-1188.11,+2089.64
2000-01-01 12:10:00 PST,+0,+0,-1222.69,-2062.15,-1186.1,+2090.81
2000-01-01 12:20:00 PST,+0,+0,-1221.31,-2068.16,-1181.04,+2087.76
2000-01-01 12:30:00 PST,+0,+0,-1221.77,-2065.39,-1184.78,+2092.42
2000-01-01 12:40:00 PST,+0,+0,-1222.18,-2062.32,-1180.22,+2092.96
2000-01-01 12:50:00 PST,+0,+0,-1227.99,-2063.91,-1188,+2094.05
2000-01-01 13:00:00 PST,+0,+0,-1229.44,-2068.41,-1189.61,+2093.46
2000-01-01 13:10:00 PST,+0,+0,-1231.84,-2064,-1182.46,+2094.33
2000-01-01 13:20:00 PST,+0,+0,-1234.7,-2063.55,-1184.97,+2096.56
2000-01-01 13:30:00 PST,+0,+0,-1235.48,-2067.62,-1177.69,+2094.51
2000-01-01 13:40:00 PST,+0,+0,-1243.27,-2059.91,-1181.45,+2097.92
2000-01-01 13:50:00 PST,+0,+0,-1249.29,-2054.95,-1180.64,+2098.76
2000-01-01 14:00:00 PST,+0,+0,-1252.4,-2062.58,-1175.32,+2093.8
2000-01-01 14:10:00 PST,+0,+0,-1253.84,-2056.8,-1174.81,+2097.25
2000-01-01 14:20:00 PST,+0,+0,-1264.76,-2044.49,-1179.41,+2101.22
2000-01-01 14:30:00 PST,+0,+0,-1265.53,-2040.35,-1175.79,+2106.42
2000-01-01 14:40:00 PST,+0,+0,-1259.88,-2057.59,-1172.25,+2098.23
2000-01-01 14:50:00 PST,+0,+0,-1254.29,-2037.03,-1166.23,+2090.55
2000-01-01 15:00:00 PST,+0,+0,-1251.55,-2038.32,-1165.55,+2094.28
2000-01-01 15:10:00 PST,+0,+0,-1250.44,-2045.41,-1159.06,+2089.17
2000-01-01 15:20:00 PST,+0,+0,-1244.76,-2058.37,-1161.54,+2086.28
2000-01-01 15:30:00 PST,+0,+0,-1251.03,-2040.88,-1160.75,+2090.55
2000-01-01 15:40:00 PST,+0,+0,-1256.71,-2023.31,-1166.91,+2098.13
2000-01-01 15:50:00 PST,+0,+0,-1250.68,-2032.89,-1155.25,+2091.05
2000-01-01 16:00:00 PST,+0,+0,-1247.51,-2028.29,-1151.7,+2091.15
2000-01-01 16:10:00 PST,+0,+0,-1254.81,-2044.46,-1165.8,+2082.49
2000-01-01 16:20:00 PST,+0,+0,-1248.42,-2035.15,-1148.11,+2084.94
2000-01-01 16:30:00 PST,+0,+0,-1258.19,-2039.2,-1168.59,+2080.8
2000-01-01 16:40:00 PST,+0,+0,-1255.39,-2016.69,-1143.64,+2088.54
2000-01-01 16:50:00 PST,+0,+0,-1257.73,-2003.73,-1146.31,+2083.57
2000-01-01 17:00:00 PST,+0,+0,-1253.17,-2012.62,-1150.56,+2075.07
2000-01-01 17:10:00 PST,+0,+0,-1249.29,-2019.6,-1144.38,+2072.95
2000-01-01 17:20:00 PST,+0,+0,-1262.11,-1989.17,-1159.52,+2076.72
